nombre_documento,link_pdf,enlace_youtube
ACTA-DE-COMPRARECENCIA-NUM.-0196-DE-FECHA-26-DE-OCTUBRE-2023 (1).pdf,https://drive.google.com/file/d/1TjMNsmNV23iM4SBNC0uhwU9DcDjOcfrO/view?usp=drivesdk,https://www.youtube.com/watch?v=Uqfq0Z9bO7o
ACTA-DE-COMPRARECENCIA-NUM.-0196-DE-FECHA-26-DE-OCTUBRE-2023.pdf,https://drive.google.com/file/d/1JXPaQkhI6OltVjVS7CxBOWxNA-v_dsd_/view?usp=drivesdk,https://www.youtube.com/watch?v=Uqfq0Z9bO7o
ACTA-DE-INSTALACION-NUM.-0209-DE-FECHA-27-DE-FEBRERO-2024.pdf,https://drive.google.com/file/d/1KIFBnDZG-1yNoz9-mMd_0RzSvPduxDSa/view?usp=drivesdk,https://www.youtube.com/watch?v=KAqfobYAomg
ACTA-DE-INSTALACION-NUM.-0209-DE-FECHA-27-DE-FEBRERO-2024.pdf,https://drive.google.com/file/d/1KIFBnDZG-1yNoz9-mMd_0RzSvPduxDSa/view?usp=drivesdk,https://www.youtube.com/watch?v=DY6PiQRzJv4
ACTA-NO.-011-DE-FECHA-14-OCTUBRE-2020.pdf,https://drive.google.com/file/d/1fmGW-dCwkFI6FUn41SN7B0HENSPCK8uc/view?usp=drivesdk,https://www.youtube.com/watch?v=U5xIiHuGnO8
ACTA-NO.002-DE-FECHA-20-DE-AGOSTO-2020.pdf,https://drive.google.com/file/d/1NvOig-j8oRwN_QCeVKIOyUMf5jl-brnu/view?usp=drivesdk,https://www.youtube.com/watch?v=YKpbdLDP2kk
ACTA-NO.003-DE-FECHA-26-AGOSTO-2020.pdf,https://drive.google.com/file/d/1XK_XggBvkCMn1JccxKEJiACn_ZQZ7Ifx/view?usp=drivesdk,https://www.youtube.com/watch?v=_KSNUeK93mc
ACTA-NO.004-DE-FECHA-01-SEPTIEMBRE-2020.pdf,https://drive.google.com/file/d/15pSDbQP1wTlG4gfoEL_ubRcwS-pFSW01/view?usp=drivesdk,https://www.youtube.com/watch?v=YnSFRXYfadE
ACTA-NO.005-DE-FECHA-03-DE-SEPTIEMBRE-DE-2020.pdf,https://drive.google.com/file/d/1x6pIdbIcBDzAilSMDb_IjzGvDMYNejaf/view?usp=drivesdk,https://www.youtube.com/watch?v=-WiH4Ha94UI
ACTA-NO.006-DE-FECHA-03-DE-SEPTIEMBRE-2020.pdf,https://drive.google.com/file/d/11_y2hCbv4ODbvxnmp7CfxBYxKSQOTqb3/view?usp=drivesdk,https://www.youtube.com/watch?v=-WiH4Ha94UI
ACTA-NO.0068-DE-FECHA-19-AGOSTO-DE-2021.pdf,https://drive.google.com/file/d/1v4y_4dGsSHwmn-2cnbamTtd1sRO_9e1O/view?usp=drivesdk,https://www.youtube.com/watch?v=2ZyH5FQzq0k
ACTA-NO.0069-DE-FECHA-24-AGOSTO-DE-2021.pdf,https://drive.google.com/file/d/1rg4nhF8db8U1ADpXaz1XchWUBQH41WuP/view?usp=drivesdk,https://www.youtube.com/watch?v=wsZCn1nm-i4
ACTA-NO.007-DE-FECHA-16-DE-SEPTIEMBRE-2020.pdf,https://drive.google.com/file/d/1Xn1la1rGcGW9aUciT31OZci6h5MfFuH8/view?usp=drivesdk,https://www.youtube.com/watch?v=nCJBYdrZliA
ACTA-NO.0070-DE-FECHA-26-AGOSTO-DE-2021.pdf,https://drive.google.com/file/d/15Rc1J0mjPRZ0fb8UzOMf3aXuOchA2OtP/view?usp=drivesdk,https://www.youtube.com/watch?v=9v7CY2Eq8Hs
ACTA-NO.0071-DE-FECHA-31-DE-AGOSTO-DE-2021.pdf,https://drive.google.com/file/d/1fdNrg_SgeAer_dDz6CbOcZ5BBibjOEwL/view?usp=drivesdk,https://www.youtube.com/watch?v=hZjBpgaGOsY
ACTA-NO.0072-DE-FECHA-02-SEPTIEMBRE-DE-2021.pdf,https://drive.google.com/file/d/1ccwilO2v3at470xZjTG_MLHeDGLuUifF/view?usp=drivesdk,https://www.youtube.com/watch?v=SX1ZtDGsALo
ACTA-NO.0073-DE-FECHA-14-SEPTIEMBRE-DE-2021.pdf,https://drive.google.com/file/d/1zLJGhzZUOcNd7pZkLyEAPxXxOKW9Htzq/view?usp=drivesdk,https://www.youtube.com/watch?v=kq8AEn3_Ob8
