nombre_documento,link_pdf,enlace_youtube
acta-01-del-martes-01-de-agosto-de-2023.pdf,https://drive.google.com/file/d/1PpmFu4OYQsCFz1melnjyWNeCtyhK3kxj/view?usp=drivesdk,https://www.youtube.com/watch?v=ftjNaxCl_Wg
acta-01-del-miercoles-25-de-enero-de-2023.pdf,https://drive.google.com/file/d/19qJng7vz2TchwtOH00x12rPX_fHZyPmQ/view?usp=drivesdk,https://www.youtube.com/watch?v=L-uOLmFDPng
acta-02-del-jueves-17-de-agosto-de-2023.pdf,https://drive.google.com/file/d/1XJalRQEMOLt7TeEEzMjgw68MS4QAKYuN/view?usp=drivesdk,https://www.youtube.com/watch?v=5ckx1s8G6x0
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=FbutHbTnTDk
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=DoJcI5ID-3g
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=TKFW9RkLVg4
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=7iw3JyOp7Sg
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=ySvaAqthFk0
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=wXfoX6DODeA
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=EPfQvE376-8
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=likxQOBXaN4
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=NxV2tAX1oXA
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=fqQVISR2ADE
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=YIPcgIA7uNM
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=9ykuVSpgjjA
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=0kPyFMNqWEs
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=Aola5R3FDpk
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=bYGT02pF6NI
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=MpdOfSWAjeU
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=Gx1jPVz_pp0
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=1vT5vUEJggM
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=POjDJkxLoW0
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=wGxszp3Tldk
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=PBDqitmNUYE
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=Yonl1FwEI_A
acta-02-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1ecMWZgVnnXulLAvpkbKGA59WgQlIh9MP/view?usp=drivesdk,https://www.youtube.com/watch?v=2mgzxFuY4Bc
acta-02-del-martes-28-de-febrero-de-2023-2.pdf,https://drive.google.com/file/d/1303Xulg6FAgQcdEL4RoN2XsGQVK_sWjF/view?usp=drivesdk,https://www.youtube.com/watch?v=wwH0uSGhzyU
acta-02-del-martes-28-de-febrero-de-2023.pdf,https://drive.google.com/file/d/1z5RdWsGgwGENvsojwN684XECtEsUZrUd/view?usp=drivesdk,https://www.youtube.com/watch?v=wwH0uSGhzyU
acta-02-del-miercoles-09-de-agosto-de-2023.pdf,https://drive.google.com/file/d/15WkJVKGG8_pTuDeljgINkq5HAOpoC93f/view?usp=drivesdk,https://www.youtube.com/watch?v=-jM9_tzFmCg
acta-03-del-jueves-02-de-febrero-de-2023.pdf,https://drive.google.com/file/d/1D2Qy1FRU5uY1CuE8CfWX2H9-1HBfX9nA/view?usp=drivesdk,https://www.youtube.com/watch?v=pnfqZFBQQ0c
acta-03-del-martes-24-de-agosto-de-2021.pdf,https://drive.google.com/file/d/1X3D7_Ai0KN_GewlawUy-pgd0OFOMcCR5/view?usp=drivesdk,https://www.youtube.com/watch?v=FbutHbTnTDk
